row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
31,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,P03,P03,P06,P14,P03,,,P03,P19,P17,P11,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P18,P18,P10,P17,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,P03,P03,P06,P06,P14,P03,,,P03,P23,P17,P10,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P18,P18,P06,P17,P23,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,P03,P03,P06,P06,P06,P06,P14,P03,,P03,P23,P17,P10,P18,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P18,P18,P11,P06,P14,P23,P23,P23,P23,P23,P23,P23,P03,P03,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,P03,P03,P06,P06,P06,P03,P06,P06,P03,P23,P23,P23,P14,P11,P18,P22,P22,P22,P22,P11,P11,P22,P22,P22,P22,P22,P18,P18,P07,P10,P14,P19,P23,P23,P23,P23,P23,P23,P23,P23,P03,P03,P03,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,P03,P06,P06,P03,P02,P05,P07,P02,P17,P23,P23,P23,P10,P18,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P18,P11,P07,P10,P10,P17,P23,P23,P23,P23,P23,P16,P03,P03,P03,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,P03,P03,P06,P14,P19,P19,P19,P15,P16,P21,P23,P23,P23,P14,P18,P22,P22,P11,P11,P11,P11,P11,P22,P22,P18,P18,P11,P11,P10,P10,P17,P23,P23,P23,P23,P23,P03,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,,P03,P21,P24,P24,P24,P19,P07,P09,P16,P23,P23,P23,P19,P14,P22,P22,P18,P18,P18,P18,P22,P22,P22,P18,P11,P11,P11,P08,P14,P14,P17,P23,P23,P19,P19,P23,P03,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,,,,P03,P21,P24,P24,P24,P24,P09,P07,P07,P08,P17,P23,P23,P23,P19,P14,P22,P22,P18,P18,P18,P22,P22,P18,P11,P11,P11,P11,P11,P10,P14,P17,P23,P23,P23,P19,P17,P23,P03,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,,P03,P03,P03,P24,P24,P24,P24,P24,P15,P07,P07,P05,P21,P19,P19,P23,P23,P19,P17,P11,P22,P22,P22,P22,P22,P22,P11,P11,P11,P11,P11,P11,P11,P14,P14,P17,P23,P23,P23,P17,P17,P23,P03,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,P03,P17,P23,P23,P17,P03,,,,,,,,P03,P24,P24,P24,P24,P24,P24,P24,P24,P07,P07,P07,P16,P24,P21,P08,P19,P14,P23,P16,P14,P11,P22,P22,P22,P18,P11,P11,P11,P11,P11,P11,P11,P18,P18,P14,P17,P17,P23,P23,P23,P17,P16,P03,,,,,,,,,,,,,,,,
